date,open,high,low,close,volume
2023-01-01,100.0,102.5,99.0,101.0,1000
2023-01-02,101.0,103.5,100.0,102.0,1100
2023-01-03,102.0,104.5,101.0,103.0,1050
2023-01-04,103.0,105.5,102.0,104.0,1200
2023-01-05,104.0,106.5,103.0,105.0,1150
2023-01-06,105.0,107.5,104.0,106.0,1300
2023-01-07,106.0,108.5,105.0,107.0,1250
2023-01-08,107.0,109.5,106.0,108.0,1400
2023-01-09,108.0,110.5,107.0,109.0,1350
2023-01-10,109.0,111.5,108.0,110.0,1500
2023-01-11,110.0,111.0,106.5,107.0,1450
2023-01-12,107.0,108.0,103.5,104.0,1600
2023-01-13,104.0,105.0,100.5,101.0,1550
2023-01-14,101.0,102.0,97.5,98.0,1700
2023-01-15,98.0,99.0,94.5,95.0,1650
2023-01-16,95.0,97.5,94.0,96.0,1800
2023-01-17,96.0,98.5,95.0,97.0,1750
2023-01-18,97.0,99.5,96.0,98.0,1900
2023-01-19,98.0,100.5,97.0,99.0,1850
2023-01-20,99.0,101.5,98.0,100.0,2000
